id,label,message
0,0,具有重新设计的全新视觉效果和操控xxx
1,0,又去了一次海陵岛不为什么就因为太美
2,0,xxxExxxxxxx，陈先生您已购06月03日Dxxx次03车10C号大连北14:48开。请尽快换取纸质车票。【xxx】
3,0,"真的是最后的绝唱,你们走了NBA联盟还剩下什么"
4,0,工程师为其设计了四种驱动模式
5,0,刚刚打开电梯门就被保安赶回电梯
6,0,可以微波炉30秒使用也可以冷藏30分xxx
9,0,明天去xxxxxxx南京科技馆，爸爸带你去涨知识
10,0,"一个月内“堵车门”盗窃7起,真的假的"
11,0,劳xor贝xx首发将有主教练来决定耶
12,0,昨天半夜三更Openxxxxxx基金会宣布xxxxx已加入基xxx
13,0,14年5月9xxx，到底发生了什么
14,0,多维片可以提供一份营养保险
15,0,xxx…………5o号家的旁晚风光
16,0,xxx”——可以躲在“高尔夫球车”上
17,0,昨天下午茶是蜂蜜厚多士配八喜冰淇淋
19,0,大家可以去xxxxxx搜索下一堆
21,0,注意7月25日中午苏州xxxx公司三车间主管谭xx准备来深入各班组
22,0,黄xx一行准备要实地考察了xxxxx有限公司、xx汽车客运站、xxx
23,0,车辆的交通违法款项也正在追缴之中
24,0,ipad便随身电脑利器——键盘~适合iPadair
25,0,喜欢?那我明天下班买给你
26,0,温馨提示：截止07月25日19时，您当月3G主套餐内流量已使用270.02MB，剩余流量29.98MB，超出部分国内流量（不含港澳台）将按0.0003元/KB收费。xxx，建议您选购流量叠加包，当月申请立即生效，逐月自动续订。（发送LJKT3GLL，可了解套餐详情并完成订购）。 登录xx手机营业厅xxx，查询、交费、充值，方便又实惠!
27,0,2015年大x山龙眼蜂蜜文化节8/1已在大x山风景区xx公园热闹展开
28,0,糖尿病、心脑血管病、肾病患者和刚剧烈运动完的人，都不是很建议马上坐下
29,0,我看完差点把电脑砸了~~笑死我了
30,0,明天我就准备坐飞机去玩啦
31,0,没想到，多吃胡萝卜还能抑制诱发癌症基因的突变
32,0,我找真相的速度永远都比不过你们撕逼的速度
35,0,如果问我来南京的哪天是最无聊的，我无可奉告
36,0,飞机的滑行与制动要求轮胎具备良好的防水滑功能
37,0,今年的好xx真不用听下去了
38,0,像个不保修的太空机器人遭遇了陨石碎片撞击一样全身都散架了
39,0,"你竟然不认识xxx,他是英国17世纪著名的生理学家和医生"
40,0,职工可向劳动部门依法投诉、举报
41,0,睡觉前一顿180ml奶直到早上起床再喝一顿奶
42,0,到官网投票internationalartist
43,0,现在紧接着又是frank的展览
44,0,有建筑设计活在西伯利亚的“确凿
45,0,但愿步过瞻仰/你亦明白/看穿真相/尚有些仗/全力亦打不上
46,0,predictionio去不了了
47,0,朋友圈设置为分组可见或分组不可见的帖子可不可以再次设置为公开啊
49,0,xxxxxxxx同学表示将不负学校的培育
50,0,【xx】027440（xx登录验证码），此验证码只用于登录你的xx，提供给他人可能导致xx被盗，请勿转发。
51,0,【xx科技】599846xxx验证码，15分xxx，xxx，请勿告知他人。
52,0,【xx】Κωδικός επαλήθευσης xxxxxID:  907002  (Μην τον κοινοποιήσετε σε κανένα άλλο άτομο.)
53,0,【xxxx】你好，你的验证码是184991
54,0,sc112002
55,0,05发生信用违规行为，信用分值有扣减。请登录xx推广账户查看更多信息
56,0,Your verification code: 1922
57,0,【xx】xx验证码:308313
58,0,【xxx】您本次的验证码是：885028。3分xxx，请妥善保管!
59,0,【完美xx】您的验证码是253025。如非本人操作，请忽略本短信
60,0,【xx】你的验证码是237253，此验证码用于登录知乎或重置密码。10分xxx。
61,0,，对应功能的API调用也将无法使用；资源使用（不包括控制台操作）不受影响。请留意您的业务情况，如有操作请避开升级时间进行，相关事宜做好
62,0,【xx大作战】验证码:916366。此验证码仅用于忘记xx大作战用户名、密码后的找回操作，请妥善保管。如非本人操作请立即修改游戏密码
63,0,【交xxx】您正在登录交xxx，验证码：063200，10分xxx。xxx，如非本人，请勿泄露！
64,0,【猪xx网】您收到一条xx电商回复的新消息，微信关注xxx”或下载猪xxxAPP，保证沟通顺畅。 退订回T
65,0,【xx】验证码为948917，您正在进行找回密码手机验证！
66,0,"【xxxx】您的短信验证码是1373,若非本人发送，请忽略此短信,30分xxx"
67,0,【xxx】1346为您的登录验证码，请于1分xxx。如非本人操作，请忽略本短信。
68,0,"【xx蛋糕】xxx, 若修改或取消请于配送前一天12点前致电xxxxxxxx"
69,0,"【交xxx】您出售的(担保)5,0000两银子，买家已催促您尽快发货1次，请尽快上线配合发货！"
70,0,【x通知】您的验证码是190957，在2分钟内输入有效。如非本人操作请忽略此短信。
71,0,【网xxxx】xxx（若非本人操作，请删除本短信）
72,0,【xxx先生】您的验证码是：763167。请不要把验证码泄露给其他人
73,0,【xxxxGame】您的验证码为：904249，该验证码 10 分xxx，请勿泄漏！
74,0,【xx影视APP】您的验证码是4039。如非本人操作，请忽略本短信
75,0,【xxxx吃喝】您的验证码是178752，3分xxx。我司不会以任何名义收取会员费、服务费，请您谨防电信诈骗。有疑请拨打xxxxxxxx
76,0,"xxxxverification code (6869) may only be used once to verify mobile number. For account safety, don&#39;t forward the code to others."
77,0,"【快xxxx转】您的短信验证码是3119,若非本人发送，请忽略此短信,30分xxx"
78,0,【房xxxx】验证码4078，当日内有效。如非本人操作，回复TD退阅。09:37:53。
79,0,【大xxx商城】您的短信验证码是411146。有效期10分钟，请勿泄漏。
80,0,【xxxxx遇】你的验证码：3348，有效期5分钟，请勿泄露。如非本人操作，请忽略此短信。xxx！
81,0,cn/5vO27da【xxxx科技】
82,0,【xx证券】【模拟炒股】手机注册验证码：699912，请勿向任何人提供短信验证码。
83,0,【xx】您的验证码是 303384，10分xxx，请勿泄露。
84,0,【xxx】您好，您的验证码是:657254，二十分xxx。
85,0,"【xx玩转】您的短信验证码是0472,若非本人发送，请忽略此短信,30分xxx"
